[0.0s] えーと、まず配車管理システムを開きます。
[3.2s] ログイン画面が出てくるので、ユーザーIDとパスワードを入力して、ログインボタンを押します。
[8.5s] はい、ログインできました。トップ画面が表示されています。
[12.0s] 左のメニューから「配車指示」をクリックします。
[15.3s] 配車指示画面が開きました。ここで日付を今日の日付に設定します。
[20.1s] 日付の横にある「検索」ボタンを押すと、今日の配送依頼の一覧が表示されます。
[25.0s] 今、5件の依頼が表示されていますね。
[28.3s] まず依頼の内容を確認します。一番上の依頼をクリックすると、詳細が右側に表示されます。
[33.5s] この依頼は関東エリア、大型車両が必要ですね。積荷は建材で、才数が大きいです。
[40.2s] 大型車両なので、大型免許を持っているドライバーを割り当てる必要があります。
[45.0s] 「ドライバー割当」ボタンをクリックして、ドライバー選択画面を開きます。
[48.5s] ここで車両区分を「大型」でフィルタリングすると、対応可能なドライバーが表示されます。
[53.0s] 田中さんが空いているので、田中さんを選択して「割当確定」ボタンを押します。
[58.2s] 割当が完了しました。次に配車指示書を印刷します。
[62.0s] 画面右上の「印刷」ボタンから「配車指示書」を選択して印刷します。
[66.5s] これをドライバーに渡して、配車の手続きは完了です。
